"0-1 BFS","간선 비용이 0과 1 두 종류뿐인 그래프에서 힙 대신 덱을 써서 최단 거리를 구하는 탐색이다. 비용 0으로 간 정점은 덱 앞에, 1로 간 정점은 뒤에 넣으면 덱이 거리 순 정렬을 유지하므로 BFS의 불변식이 그대로 복구된다. 판정 기준이 방문 여부가 아니라 거리 개선이라는 점이 평범한 BFS와 다르고, O(E log V)가 O(V+E)가 된다. (iv-4)"
"2축 매트릭스","입력 형태(격자·그래프·수열·문자열·기하·수 하나)와 묻는 것(존재·개수·최적·구성)을 두 축으로 놓고 각 칸에 후보 알고리즘을 채운 표다. 신호어는 축 하나만 건드리므로 그것만으로는 후보가 좁혀지지 않는다. 입력 형태는 입력 형식이 결정하고, 묻는 것은 출력 문장 한 줄이 결정한다. 묻는 것에는 비용의 순서가 있어 존재가 가장 싸고 구성이 가장 비싸며, 개수는 중복을 세지 않는 상태 정의라는 별도의 어려움을 갖는다. (i-4)"
"4-이웃과 8-이웃","격자에서 이웃을 상하좌우 넷으로 볼 것인가 대각선을 포함해 여덟으로 볼 것인가의 규약이다. 취향이 아니라 답을 바꾼다 — 사선 X 모양 이미지는 4-이웃이면 덩어리가 9개, 8-이웃이면 1개다. 비전에서 전경과 배경 중 한쪽은 반드시 4-이웃이어야 위상이 모순되지 않으며, 관례는 전경 8-이웃 / 배경 4-이웃이다. (iv-5)"
"5분 프로토콜","지문을 펼친 순간부터 유형을 확정할 때까지를 다섯 단계와 시간 예산으로 고정한 절차. 제약 역산(45초) → 지문 1회독(90초) → 후보 2개(60초) → 반례 던지기(75초) → 확정(30초)이며, 각 단계에는 종이에 남는 산출물이 있고 산출물이 없으면 그 단계는 수행되지 않은 것으로 본다. 5분은 최적값이 아니라 결정 시점을 만드는 타이머이고, 총 시험 시간과 문제 수에서 산술로 조정한다. (i-6)"
"ARC","딱 한 번 쓰인 항목의 목록(최근성)과 두 번 이상 쓰인 항목의 목록(빈도)을 나란히 두고, 두 목록의 크기 배분을 접근 패턴에 맞춰 실행 중에 스스로 조절하는 캐시 교체 정책이다. LRU와 LFU 중 하나를 미리 골라야 하는 것과 달리, 어느 쪽이 지금 워크로드에 맞는지를 관찰해서 배분을 바꾼다. (xv-9)"
"Active Object","메서드 호출을 요청 객체로 바꿔 큐에 싣고, 그 객체의 전용 스레드가 큐에서 하나씩 꺼내 실행하는 동시성 패턴이다. 참여자는 프록시·요청 큐·스케줄러·서번트·퓨처다. 호출자는 즉시 반환받고 결과는 나중에 회수하므로 호출자의 실행 흐름이 객체의 실행 흐름에서 끊기며, 서번트 안에는 스레드가 하나뿐이라 동시성 자체가 사라진다. 대가는 큐 하나가 처리량의 상한이자 지연의 원인이 된다는 것과, 예외가 났을 때 호출 스택에 요청자가 남지 않는다는 것이다. (xii-13)"
"B+Tree","B-Tree와 같은 삽입·분할 골격을 쓰되 데이터를 리프에만 두고 내부 노드는 오직 이정표로만 쓰는 변형이다. 내부 노드에 데이터가 없어 같은 4KB에 더 많은 키를 담을 수 있어 트리가 더 납작해지고, 리프끼리 연결 리스트로 이어져 있어 범위 조회가 뿌리부터 다시 내려갈 필요 없이 리프 하나를 찾은 뒤 옆으로 훑으면 된다. 대가는 같은 키가 내부 노드와 리프에 중복해서 나타날 수 있다는 것이며, 관계형 데이터베이스의 인덱스가 거의 예외 없이 이 구조를 쓰는 이유가 이 두 성질이다. (xv-2)"
"B-Tree","노드 하나에 키를 최대 M-1개, 자식을 최대 M개(order) 담는 다진 탐색 트리다. 노드 하나를 디스크 블록 하나에 맞춰 최대한 채우므로, 자식 수가 둘이 아니라 수백 개가 되는 순간 트리 높이가 log_2가 아니라 log_M으로 줄어 디스크 접근 횟수가 급감한다. 노드가 가득 차 넘치면 가운데 키가 부모로 올라가고 나머지가 좌우로 갈라지며, 이 분할이 뿌리까지 전파될 때만 트리 전체의 높이가 하나 는다 — 리프가 늘어나는 것이 아니라 뿌리 위에 새 뿌리가 생기는 방식으로 자란다. (xv-2)"
"CAS","'내가 읽은 값이 아직 그대로면 새 값을 넣고, 아니면 지금 값을 알려 달라'를 명령 하나로 하는 원자적 연산이다. 전용 명령이 없는 갱신 — 최댓값 유지, 상태 전이, 조건부 교체 — 을 표현하는 일반형이며, 실패하면 최신값을 받아 다시 계산하고 재시도한다. compare_exchange_weak 은 값이 같은데도 실패할 수 있어서(가짜 실패) 반드시 재시도 루프 안에서 쓴다. 경합이 심하면 재시도가 늘어 상수가 커진다. (xi-3)"
"CBS","다중 에이전트 경로 계획을 두 레벨로 쪼개 푸는 알고리즘이다. 상위 레벨은 (에이전트, 칸, 시각) 제약의 트리를 비용 합 기준 최적 우선으로 탐색하고, 하위 레벨은 그 제약 아래 한 에이전트의 시공간 A*를 돌린다. 충돌 하나를 두 갈래로 갈라 각 자식에 제약을 하나씩 붙이므로 유효한 해를 버리지 않아 완전하고, 노드 비용이 그 서브트리의 하한이므로 최적이다. 대가는 지수적으로 자랄 수 있는 제약 트리다. (v-9)"
